,Name,Roll_no,Age,Gender,Branch,Internships,CGPA,Hostel,Backlogs,PlacedOrNot
757,Thoiba,cs15b1052,21,Male,Computer Science,0,5.36,0,0,0
758,Shreya,cs15b1760,23,Female,Computer Science,0,8.2,0,0,1
759,Arushi,it15b1032,23,Female,Information Technology,1,7.06,1,0,1
760,Ajay,me15b1303,21,Male,Mechanical,0,6.17,1,0,1
761,Kripesh,cs15b1116,22,Male,Computer Science,0,7.24,0,1,0
762,Jitendra,ec15b1299,21,Male,Electronics And Communication,0,7.31,0,0,0
763,Harilal,el15b1326,21,Male,Electrical,0,7.38,0,0,0
764,Adesh,it15b1003,21,Male,Information Technology,1,7.23,0,0,0
765,Anshi,cv15b1082,26,Female,Civil,0,6.0,0,0,1
766,Kripesh,it15b1194,22,Male,Information Technology,0,6.24,0,0,0
767,Keshav,ec15b1414,21,Male,Electronics And Communication,0,8.06,0,1,1
768,Ishita,el15b1236,21,Female,Electrical,1,9.29,0,0,1
769,Anirban,cs15b1512,22,Male,Computer Science,1,8.0,0,0,1
770,Adesh,ec15b1417,21,Male,Electronics And Communication,0,8.32,0,0,1
771,Harjit,it15b1244,22,Male,Information Technology,2,8.26,0,0,1
772,Apoorva,me15b1219,23,Male,Mechanical,0,6.38,1,0,0
773,Ramesh,cs15b1413,24,Male,Computer Science,1,5.02,0,0,0
774,Biju,cs15b1529,22,Male,Computer Science,0,7.36,0,0,0
775,Debaprasad,ec15b1088,21,Male,Electronics And Communication,1,7.35,0,0,0
776,Diya,cv15b1220,19,Female,Civil,2,6.42,1,0,1
777,Aahana,me15b1285,21,Female,Mechanical,0,8.39,1,0,1
778,Sachin,me15b1212,22,Male,Mechanical,0,6.09,1,0,0
779,Prakash,it15b1232,22,Male,Information Technology,1,8.1,1,0,1
780,Anshita,me15b1205,22,Female,Mechanical,0,7.12,1,1,0
781,Kiara,el15b1329,21,Female,Electrical,0,8.0,0,0,1
782,Sarit,cs15b1498,22,Male,Computer Science,0,8.05,1,0,1
783,Bali,cs15b1481,23,Male,Computer Science,0,6.35,0,0,0
784,Diyara,it15b1601,20,Female,Information Technology,1,8.36,1,0,1
785,Upendra,me15b1195,25,Male,Mechanical,0,7.24,1,0,0
786,Shekhar,cs15b1047,22,Male,Computer Science,2,6.36,0,0,1
787,Sadanand,el15b1325,21,Male,Electrical,0,7.28,1,0,0
788,Vasudevan,el15b1030,21,Male,Electrical,2,6.22,0,0,1
789,Sekar,ec15b1032,22,Male,Electronics And Communication,1,6.34,0,0,0
790,Harjit,cs15b1257,21,Male,Computer Science,1,6.13,0,1,0
791,Aadhya,cs15b1500,19,Female,Computer Science,1,7.17,0,1,1
792,Namik,cs15b1300,22,Male,Computer Science,2,8.36,0,0,1
793,Shivani,el15b1165,22,Female,Electrical,1,8.3,0,0,1
794,Faizal,cs15b1590,20,Male,Computer Science,0,7.34,0,0,0
795,Tanisha,me15b1177,22,Female,Mechanical,0,9.07,1,1,1
796,Jayachandran,it15b1380,21,Male,Information Technology,1,7.49,0,0,1
797,Vriti,it15b1488,22,Female,Information Technology,1,6.18,0,0,0
798,Navya,it15b1365,21,Female,Information Technology,0,6.34,0,0,0
799,Adarsh,el15b1191,21,Male,Electrical,0,6.39,0,0,0
800,Anvi,cs15b1232,21,Female,Computer Science,0,7.14,0,0,1
801,Pitamber,cs15b1126,21,Male,Computer Science,0,8.21,0,1,1
802,Jawahar,ec15b1151,21,Male,Electronics And Communication,1,8.36,0,0,1
803,Ishita,ec15b1375,20,Female,Electronics And Communication,2,7.2,0,0,1
804,Abhijit,it15b1526,22,Male,Information Technology,1,5.21,0,0,0
805,Sachin,it15b1504,22,Male,Information Technology,0,6.11,0,1,0
806,Kavya,it15b1301,21,Female,Information Technology,1,7.15,1,0,0
807,Aaira,cs15b1123,22,Female,Computer Science,0,6.07,0,0,1
808,Anaisha,cs15b1329,25,Female,Computer Science,0,6.46,0,0,1
809,Anshi,cs15b1672,21,Female,Computer Science,1,6.32,0,0,0
810,Anaisha,me15b1022,21,Female,Mechanical,0,7.02,1,0,0
811,Anurag,el15b1064,22,Male,Electrical,1,7.15,0,0,0
812,Aarchi,cs15b1454,23,Female,Computer Science,1,8.31,1,0,1
813,Avira,cs15b1399,23,Female,Computer Science,1,7.25,0,0,0
814,Kalpesh,cs15b1736,21,Male,Computer Science,1,8.08,0,0,1
815,Tithira,cv15b1084,23,Female,Civil,1,7.22,0,0,0
816,Sudip,it15b1527,21,Male,Information Technology,3,9.05,1,0,1
817,Satyajit,ec15b1422,22,Male,Electronics And Communication,0,7.15,0,0,0
818,Elangovan,ec15b1190,22,Male,Electronics And Communication,1,7.47,0,0,0
819,Muthuswamy,cs15b1610,22,Male,Computer Science,0,8.09,0,0,1
820,Pratapsinh,cs15b1738,23,Male,Computer Science,1,8.38,0,0,1
821,Vineet,ec15b1133,21,Male,Electronics And Communication,1,7.1,0,1,1
822,Surendra,cs15b1703,21,Male,Computer Science,2,8.39,0,0,1
823,Shreyas,cv15b1117,22,Male,Civil,2,8.18,1,1,1
824,Dnyandeo,cs15b1675,20,Male,Computer Science,0,6.23,0,1,0
825,Anushka,cs15b1227,22,Female,Computer Science,0,6.31,0,1,1
826,Dhinakaran,it15b1464,22,Male,Information Technology,1,7.45,0,0,1
827,Neeraj,cs15b1583,20,Male,Computer Science,1,8.23,0,0,1
828,Shridhar,el15b1261,20,Male,Electrical,0,6.05,0,0,0
829,Bharat,cs15b1640,21,Male,Computer Science,1,6.12,0,0,0
830,Ajay,ec15b1369,21,Male,Electronics And Communication,3,9.46,0,0,1
831,Subrata,cs15b1196,24,Male,Computer Science,1,6.48,0,0,1
832,Ambika,cv15b1178,21,Male,Civil,0,8.16,1,0,1
833,Umesh,it15b1290,21,Male,Information Technology,1,8.37,1,0,1
834,Pankaj,it15b1503,19,Male,Information Technology,3,7.03,0,0,1
835,Jahangir,cs15b1143,21,Male,Computer Science,0,6.49,0,0,0
836,Radhanath,it15b1069,21,Male,Information Technology,1,6.35,0,0,0
837,Arhaan,cs15b1491,21,Male,Computer Science,1,7.21,0,0,1
838,Miraya,el15b1153,24,Female,Electrical,1,7.33,0,0,1
839,Ajish,cv15b1104,21,Male,Civil,0,6.26,0,0,0
840,Hiten,ec15b1019,23,Male,Electronics And Communication,0,7.49,0,0,1
841,Shivani,el15b1268,22,Female,Electrical,1,7.19,1,1,0
842,Gam,me15b1166,21,Male,Mechanical,0,7.43,1,0,0
843,Vidhi,it15b1468,22,Female,Information Technology,0,7.45,0,0,0
844,Avni,it15b1664,21,Female,Information Technology,1,8.46,1,0,1
845,Anshika,cs15b1560,20,Female,Computer Science,3,6.35,0,0,1
846,Krishnadev,el15b1321,20,Male,Electrical,0,8.35,0,0,1
847,Saanvi,it15b1214,21,Female,Information Technology,1,6.03,0,0,0
848,Anika,cs15b1294,21,Female,Computer Science,1,9.02,0,0,1
849,Prannoy,it15b1648,20,Male,Information Technology,1,8.29,0,1,1
850,Hitesh,me15b1012,23,Male,Mechanical,1,5.1,0,0,0
851,Ramesh,it15b1074,22,Male,Information Technology,0,7.01,0,0,0
852,Sneha,it15b1123,21,Female,Information Technology,0,7.05,0,0,0
853,Vanya,it15b1063,22,Female,Information Technology,1,7.31,0,0,0
854,Anvi,it15b1337,22,Female,Information Technology,3,7.25,1,1,0
855,Amaira,cs15b1064,21,Female,Computer Science,2,7.24,0,0,1
856,Krishnayya,ec15b1202,22,Male,Electronics And Communication,1,6.3,0,0,0
857,Bhavesh,el15b1203,23,Male,Electrical,0,6.42,0,0,0
858,Utkarsh,cs15b1694,20,Male,Computer Science,1,9.14,0,0,1
859,Kaustubh,ec15b1066,22,Male,Electronics And Communication,2,6.4,0,0,1
860,Kaushal,cs15b1411,23,Male,Computer Science,1,7.38,0,0,0
861,Sukhbir,cs15b1183,25,Male,Computer Science,2,6.23,0,0,1
862,Anshi,ec15b1321,21,Female,Electronics And Communication,0,7.37,0,0,0
863,Dheeraj,ec15b1145,22,Male,Electronics And Communication,2,7.34,0,0,0
864,Amaya,it15b1150,22,Female,Information Technology,1,6.45,0,0,1
865,Namik,me15b1381,21,Male,Mechanical,0,8.24,1,0,1
866,Hansraj,cs15b1665,20,Male,Computer Science,1,8.49,0,0,1
867,Saisha,it15b1473,19,Female,Information Technology,0,8.5,0,0,1
868,Arvind,cs15b1103,21,Male,Computer Science,0,6.1,0,0,0
869,Ahaana,ec15b1053,22,Female,Electronics And Communication,0,8.39,0,0,1
870,Utkarsh,cs15b1613,22,Male,Computer Science,1,7.48,1,0,0
871,Samira,ec15b1041,21,Male,Electronics And Communication,0,7.18,0,0,0
872,Virat,cv15b1298,20,Male,Civil,0,9.33,0,0,1
873,Nilesh,it15b1270,22,Male,Information Technology,1,9.27,0,0,1
874,Arya,cs15b1031,23,Female,Computer Science,0,6.45,0,0,0
875,Pratul,cs15b1189,24,Male,Computer Science,0,7.23,0,1,1
876,Vani,ec15b1249,24,Female,Electronics And Communication,1,7.13,1,1,0
877,Ishi,it15b1002,21,Female,Information Technology,0,8.32,0,1,1
878,Hemant,me15b1130,22,Male,Mechanical,1,7.28,1,1,0
879,Utkarsh,cs15b1576,21,Male,Computer Science,0,5.31,0,0,0
880,Akasha,cs15b1285,22,Male,Computer Science,1,9.46,0,0,1
881,Sneha,me15b1273,22,Female,Mechanical,0,6.46,1,0,0
882,Anushka,it15b1674,23,Female,Information Technology,0,6.35,0,1,0
883,Samira,ec15b1227,21,Male,Electronics And Communication,0,8.27,0,1,1
884,Nana,it15b1579,22,Male,Information Technology,1,8.39,0,0,1
885,Kiara,cv15b1217,19,Female,Civil,0,7.18,0,0,0
886,Ammar,it15b1437,22,Male,Information Technology,1,6.37,0,0,0
887,Neeraj,me15b1046,22,Male,Mechanical,0,7.3,1,0,1
888,Manmohan,el15b1230,20,Male,Electrical,0,6.32,1,1,0
889,Amaira,ec15b1081,22,Female,Electronics And Communication,0,8.33,0,0,1
890,Aanvi,cs15b1542,19,Female,Computer Science,0,6.47,0,0,0
891,Anshika,cv15b1256,22,Female,Civil,0,8.45,1,0,1
892,Shreyas,cs15b1325,26,Male,Computer Science,1,7.39,0,0,0
893,Kavya,it15b1471,22,Female,Information Technology,0,7.21,0,0,0
894,Karthik,el15b1269,21,Male,Electrical,1,8.38,0,0,1
895,Sudip,ec15b1008,21,Male,Electronics And Communication,1,7.3,0,1,1
896,Paridhi,ec15b1278,21,Male,Electronics And Communication,0,6.46,0,1,0
897,Hemant,ec15b1209,21,Male,Electronics And Communication,1,6.06,0,0,0
898,Anvi,el15b1312,20,Female,Electrical,1,7.03,0,1,1
899,Anika,it15b1110,22,Female,Information Technology,1,8.36,0,0,1
900,Bibin,cs15b1743,21,Male,Computer Science,1,7.0,0,0,0
901,Ayaz,me15b1280,20,Male,Mechanical,1,8.34,1,0,1
902,Anaya,me15b1144,22,Female,Mechanical,2,6.28,1,0,1
903,Amaira,cs15b1444,22,Female,Computer Science,2,6.07,0,0,1
904,Abhinav,cs15b1160,21,Male,Computer Science,2,7.33,0,0,1
905,Dinesh,el15b1227,20,Male,Electrical,0,8.17,1,1,1
906,Chandrajit,cv15b1165,20,Male,Civil,1,6.07,0,0,0
907,Kishor,it15b1632,21,Male,Information Technology,1,9.49,0,0,1
908,Kaira,it15b1247,22,Female,Information Technology,2,7.09,0,1,1
909,Anaya,it15b1505,20,Female,Information Technology,1,8.28,0,0,1
910,Prabodh Chandra,cs15b1290,21,Male,Computer Science,1,9.31,1,0,1
911,Pallav,it15b1670,22,Male,Information Technology,2,6.15,0,0,1
912,Angad,el15b1035,22,Male,Electrical,1,8.33,0,0,1
913,Anika,ec15b1170,21,Female,Electronics And Communication,0,8.4,0,0,1
914,Anvi,it15b1498,19,Female,Information Technology,1,7.34,1,0,0
915,Manabendra,cs15b1530,19,Male,Computer Science,2,8.02,0,0,1
916,Naranbhai,el15b1319,21,Male,Electrical,1,6.43,0,0,0
917,Amrik,me15b1106,22,Male,Mechanical,0,7.4,1,0,0
918,Dheeraj,it15b1653,22,Male,Information Technology,0,7.48,0,1,0
919,Ramesh,cs15b1194,23,Male,Computer Science,1,6.17,0,0,1
920,Nathuram,cv15b1072,22,Male,Civil,1,8.35,0,0,1
921,Venkata Swamy,ec15b1121,21,Male,Electronics And Communication,0,6.42,0,0,0
922,Khakhar,me15b1163,21,Male,Mechanical,1,8.48,1,1,1
923,Anjali,cs15b1717,21,Female,Computer Science,1,9.33,0,0,1
924,Aadhira,cs15b1487,21,Female,Computer Science,1,6.18,1,0,0
925,Narendra,it15b1402,23,Male,Information Technology,2,7.26,0,0,1
926,Ziva,me15b1055,22,Female,Mechanical,0,6.08,1,0,0
927,Ambika,cs15b1350,21,Male,Computer Science,1,7.29,0,0,0
928,Krishnayya,me15b1071,22,Male,Mechanical,2,7.38,1,0,1
929,Sekar,cs15b1075,21,Male,Computer Science,1,7.47,0,0,0
930,Maira,it15b1619,20,Female,Information Technology,1,7.18,0,0,0
931,Alisha,it15b1017,22,Female,Information Technology,1,9.5,0,0,1
932,Nida,el15b1023,21,Male,Electrical,2,5.46,0,1,0
933,Nana,ec15b1370,20,Male,Electronics And Communication,3,8.04,1,1,1
934,Anushka,el15b1079,21,Female,Electrical,0,8.08,0,0,1
935,Ajinkya,cs15b1616,22,Male,Computer Science,1,6.38,0,0,0
936,Keshav,it15b1364,22,Male,Information Technology,1,8.3,0,0,1
937,Shreyas,cs15b1297,22,Male,Computer Science,1,9.06,0,0,1
938,Aaira,me15b1335,21,Female,Mechanical,0,6.17,1,1,0
939,Anaya,cs15b1776,22,Female,Computer Science,1,7.18,0,0,0
940,Aarohi,it15b1071,22,Female,Information Technology,2,6.49,0,0,1
941,Nana,me15b1291,19,Male,Mechanical,0,6.11,1,1,0
942,Shanaya,ec15b1218,24,Female,Electronics And Communication,0,8.41,0,0,1
943,Girish,cs15b1427,23,Male,Computer Science,1,7.33,1,0,0
944,Nitin,me15b1397,23,Male,Mechanical,0,7.2,1,0,0
945,Anaya,it15b1283,22,Female,Information Technology,1,8.32,1,0,1
946,Pari,el15b1134,21,Female,Electrical,0,7.38,0,0,0
947,Miraya,cv15b1203,24,Female,Civil,0,7.41,1,1,0
948,Birendra,ec15b1311,20,Male,Electronics And Communication,1,7.06,0,0,1
949,Kyra,me15b1088,21,Female,Mechanical,1,7.06,1,0,0
950,Ankit,me15b1136,22,Male,Mechanical,0,7.19,1,0,0
951,Ramesh,cv15b1112,21,Male,Civil,0,8.45,1,0,1
952,Surendranath,cs15b1104,21,Male,Computer Science,1,8.14,0,0,1
953,Rahil,cv15b1169,20,Male,Civil,2,5.01,0,0,0
954,Upendra,it15b1686,23,Male,Information Technology,1,7.03,0,1,0
955,Nagaraj,el15b1105,21,Male,Electrical,1,6.34,1,1,0
956,Kazi,it15b1626,20,Male,Information Technology,0,9.28,0,0,1
957,Ishani,cs15b1188,25,Female,Computer Science,0,8.48,0,0,1
958,Ishani,it15b1412,24,Female,Information Technology,2,8.5,0,0,1
959,Krishnappa,cv15b1101,21,Male,Civil,2,7.09,0,0,0
960,Ajay,ec15b1244,22,Male,Electronics And Communication,0,8.36,0,0,1
961,Rajinder,it15b1276,22,Male,Information Technology,2,7.31,0,0,0
962,Puran,it15b1174,25,Male,Information Technology,1,8.09,0,0,1
963,Sara,cs15b1002,21,Female,Computer Science,0,7.45,0,1,0
964,Nitish,el15b1176,22,Male,Electrical,1,7.05,0,0,0
965,Abhay,it15b1391,23,Male,Information Technology,0,7.4,0,0,0
966,Chandrajit,ec15b1359,20,Male,Electronics And Communication,0,6.4,0,0,0
967,Saina,it15b1193,22,Female,Information Technology,0,8.0,0,1,1
968,Abhinav,cs15b1557,19,Male,Computer Science,1,9.1,0,0,1
969,Chamaraja,cs15b1586,19,Male,Computer Science,1,7.19,1,0,1
970,Viara,cs15b1421,22,Female,Computer Science,1,8.22,0,0,1
971,Tithira,me15b1271,22,Female,Mechanical,1,7.22,1,1,0
972,Anil,el15b1267,21,Male,Electrical,1,6.07,0,0,0
973,Surendranath,ec15b1401,22,Male,Electronics And Communication,2,8.32,0,0,1
974,Harpreet,it15b1101,21,Male,Information Technology,2,6.27,1,0,1
975,Hitendra,cs15b1438,20,Male,Computer Science,0,5.29,1,1,0
976,Satish,cs15b1253,22,Male,Computer Science,2,7.44,0,0,1
977,Anaisha,it15b1295,21,Female,Information Technology,0,9.35,0,0,1
978,Kazi,cv15b1234,22,Male,Civil,0,8.06,0,0,1
979,Chakrapani,cv15b1058,21,Male,Civil,1,8.26,0,0,1
980,Ramesh,el15b1198,21,Male,Electrical,0,6.44,0,0,0
981,Inaaya,ec15b1262,22,Female,Electronics And Communication,0,7.13,0,0,0
982,Subbiah,cs15b1539,20,Male,Computer Science,0,7.02,0,0,0
983,Anushka,it15b1285,21,Female,Information Technology,1,8.29,0,0,1
984,Ananya,cs15b1202,22,Female,Computer Science,2,8.17,1,0,1
985,Amaira,it15b1383,23,Female,Information Technology,1,6.31,1,0,0
986,Anushka,cs15b1604,20,Female,Computer Science,2,7.42,0,0,1
987,Yash,it15b1099,21,Male,Information Technology,1,5.04,1,0,0
988,Shreya,it15b1220,22,Female,Information Technology,2,6.14,0,0,1
989,Bhagwant,me15b1262,21,Male,Mechanical,0,8.35,1,1,1
990,Yashi,me15b1228,24,Female,Mechanical,0,5.13,0,1,0
991,Anusha,cv15b1231,20,Female,Civil,2,9.43,1,0,1
992,Rajinder,cs15b1570,21,Male,Computer Science,0,9.22,0,0,1
993,Satyadev,cs15b1065,22,Male,Computer Science,1,8.28,0,0,1
994,Samaira,cv15b1078,22,Female,Civil,1,6.37,0,0,0
995,Diyara,cv15b1309,21,Female,Civil,0,6.28,0,0,0
996,Thoiba,ec15b1027,21,Male,Electronics And Communication,1,7.4,0,0,0
997,Sachin,cs15b1381,24,Male,Computer Science,1,6.01,1,1,1
998,Tara,it15b1249,22,Female,Information Technology,2,6.06,0,1,1
999,Ranbir,me15b1048,21,Male,Mechanical,0,8.28,1,0,1
1000,Avisha,me15b1261,20,Female,Mechanical,1,6.25,1,0,0
1001,Myra,me15b1150,22,Female,Mechanical,1,6.47,1,0,0
1002,Aadhira,cv15b1224,19,Female,Civil,0,7.17,0,0,0
1003,Tanuj,cv15b1278,20,Male,Civil,1,6.26,0,0,0
1004,Chandrajit,cs15b1581,20,Male,Computer Science,0,6.38,0,0,0
1005,Rahul,me15b1158,21,Male,Mechanical,1,9.02,1,1,1
1006,Ganesh,me15b1314,19,Male,Mechanical,0,8.13,1,1,1
1007,Kripesh,me15b1053,22,Male,Mechanical,1,6.32,0,0,0
1008,Inaya,el15b1228,19,Female,Electrical,0,8.31,0,0,1
1009,Ramesh,me15b1307,20,Male,Mechanical,1,9.31,1,0,1
1010,Hitendra,me15b1115,21,Male,Mechanical,0,6.26,1,0,0
1011,Suresh,cs15b1489,22,Male,Computer Science,2,8.43,0,1,1
1012,Angad,cv15b1013,24,Male,Civil,1,7.02,0,1,1
1013,Suneet,me15b1396,23,Male,Mechanical,1,6.2,1,0,0
1014,Pramod,it15b1384,23,Male,Information Technology,0,5.03,0,1,0
1015,Maulik,it15b1121,21,Male,Information Technology,0,7.35,0,1,1
1016,Gurcharan,it15b1317,26,Male,Information Technology,2,7.35,0,0,1
1017,Manmohan,cv15b1095,21,Male,Civil,0,6.01,0,0,0
1018,Aamna,cv15b1241,20,Female,Civil,1,8.41,0,0,1
1019,Harilal,cs15b1318,22,Male,Computer Science,0,7.36,0,0,0
1020,Amrutlal,ec15b1184,22,Male,Electronics And Communication,1,6.1,0,1,0
1021,Samira,it15b1265,22,Male,Information Technology,1,6.47,0,0,0
1022,Karthikeyan,me15b1359,21,Male,Mechanical,0,7.38,0,0,0
1023,Anvi,me15b1277,22,Female,Mechanical,1,8.22,1,0,1
1024,Dheeraj,cv15b1133,22,Male,Civil,2,9.24,0,1,1
1025,Vidyut,cs15b1655,21,Male,Computer Science,0,6.23,0,1,0
1026,Pitamber,cs15b1559,21,Male,Computer Science,0,5.44,0,1,0
1027,Ayaz,cv15b1317,23,Male,Civil,0,8.17,0,0,1
1028,Bali,ec15b1017,23,Male,Electronics And Communication,1,7.0,0,0,0
1029,Tanisha,it15b1262,21,Female,Information Technology,1,7.4,0,0,0
1030,Karthikeyan,cs15b1109,22,Male,Computer Science,2,6.02,0,0,1
1031,Amaira,it15b1095,21,Female,Information Technology,0,6.28,0,0,0
1032,Karan,cs15b1169,22,Male,Computer Science,1,6.37,1,0,1
1033,Jahangir,me15b1175,22,Male,Mechanical,0,7.0,1,0,0
1034,Ashwin,cs15b1558,20,Male,Computer Science,1,6.28,1,1,1
1035,Randhir,me15b1251,21,Male,Mechanical,0,5.04,1,1,0
1036,Diya,ec15b1078,21,Female,Electronics And Communication,0,8.08,0,0,1
1037,Debabrata,cs15b1593,21,Male,Computer Science,0,8.22,0,0,1
1038,Sriram,me15b1368,20,Male,Mechanical,0,7.01,1,0,0
1039,Manmohan,it15b1470,21,Male,Information Technology,0,7.03,0,0,0
1040,Paridhi,cs15b1012,21,Male,Computer Science,1,6.24,0,0,1
1041,Amaya,cs15b1437,22,Female,Computer Science,1,5.49,1,0,0
1042,Yogesh,cs15b1105,22,Male,Computer Science,1,6.24,0,0,0
1043,Ashwin,ec15b1279,22,Male,Electronics And Communication,0,7.03,0,0,0
1044,Akhil,ec15b1189,22,Male,Electronics And Communication,1,8.33,0,0,1
1045,Ajit,cs15b1574,22,Male,Computer Science,1,9.01,0,0,1
1046,Amisha,me15b1354,21,Female,Mechanical,1,8.15,1,0,1
1047,Saina,ec15b1343,20,Female,Electronics And Communication,1,7.45,0,0,0
1048,Gurcharan,ec15b1093,21,Male,Electronics And Communication,2,8.06,0,0,1
1049,Ranbir,ec15b1304,19,Male,Electronics And Communication,0,7.12,0,0,1
1050,Kiara,cs15b1735,21,Female,Computer Science,1,7.37,0,0,0
1051,Maulik,me15b1029,21,Male,Mechanical,1,8.3,1,0,1
1052,Satyadev,it15b1267,21,Male,Information Technology,1,7.43,0,1,0
1053,Zara,cv15b1291,21,Female,Civil,1,8.24,0,0,1
1054,Nikhil,cv15b1089,22,Male,Civil,0,8.32,1,0,1
1055,Anvi,it15b1398,24,Female,Information Technology,1,8.13,0,0,1
1056,Nikhil,it15b1495,22,Male,Information Technology,0,6.22,0,0,0
1057,Sadanand,cs15b1753,21,Male,Computer Science,1,7.45,0,0,0
1058,Kishor,ec15b1077,22,Male,Electronics And Communication,1,7.42,0,0,0
1059,Anvi,it15b1649,20,Female,Information Technology,0,8.42,0,0,1
1060,Navya,me15b1141,22,Female,Mechanical,0,7.45,1,0,0
1061,Umesh,cs15b1287,22,Male,Computer Science,1,8.44,0,0,1
1062,Kiran,cv15b1221,19,Female,Civil,0,8.09,1,0,1
1063,Prannoy,me15b1284,21,Male,Mechanical,1,8.15,1,0,1
1064,Bhushan,cs15b1069,22,Male,Computer Science,0,6.44,1,0,0
1065,Anika,me15b1342,20,Female,Mechanical,1,8.36,1,0,1
1066,Kalpesh,it15b1436,23,Male,Information Technology,0,7.13,0,0,0
1067,Ariya,it15b1292,21,Female,Information Technology,0,7.18,0,0,1
1068,Surendranath,cv15b1175,20,Male,Civil,0,7.47,1,1,0
1069,Risha,it15b1679,21,Female,Information Technology,1,7.14,1,0,0
1070,Naveen,el15b1118,21,Male,Electrical,2,7.49,0,0,1
1071,Ishita,ec15b1044,22,Female,Electronics And Communication,1,6.06,1,1,0
1072,Ira,cs15b1671,20,Female,Computer Science,0,7.26,0,0,0
1073,Mukesh,ec15b1035,21,Male,Electronics And Communication,1,7.17,0,0,0
1074,Aritra,cs15b1082,22,Male,Computer Science,1,6.47,1,0,1
1075,Abhijit,el15b1136,21,Male,Electrical,0,8.37,0,0,1
1076,Anshika,it15b1263,21,Female,Information Technology,2,7.41,0,1,0
1077,Venkataraman,cs15b1527,19,Male,Computer Science,0,8.1,0,0,1
1078,Anupam,cv15b1180,22,Male,Civil,0,6.09,0,0,0
1079,Gam,me15b1005,21,Male,Mechanical,0,8.48,1,1,1
1080,Yashi,cs15b1210,21,Female,Computer Science,1,7.29,0,0,1
1081,Narendra,me15b1248,22,Male,Mechanical,1,5.03,0,0,0
1082,Narendra,ec15b1366,20,Male,Electronics And Communication,1,7.1,0,1,1
1083,Shekhar,it15b1442,22,Male,Information Technology,0,6.07,0,0,0
1084,Karan,el15b1166,21,Male,Electrical,0,6.32,0,0,0
1085,Sriram,cs15b1306,21,Male,Computer Science,0,9.29,0,0,1
1086,Bharat,el15b1159,22,Male,Electrical,0,8.41,0,1,1
1087,Avisha,cv15b1262,22,Female,Civil,0,6.04,0,0,0
1088,Dinesh,cs15b1450,23,Male,Computer Science,1,5.18,1,0,0
1089,Amaira,it15b1636,20,Female,Information Technology,1,7.07,0,1,0
1090,Krishnappa,cs15b1429,24,Male,Computer Science,1,8.05,0,0,1
1091,Suresh,cv15b1289,20,Male,Civil,2,9.34,0,0,1
1092,Avya,me15b1236,24,Female,Mechanical,0,6.3,1,0,1
1093,Aahana,el15b1334,22,Female,Electrical,1,6.23,0,1,0
1094,Myra,el15b1262,20,Female,Electrical,0,6.05,0,0,0
1095,Anika,cs15b1184,25,Female,Computer Science,1,8.04,0,0,1
1096,Nana,cs15b1432,23,Male,Computer Science,1,8.37,0,0,1
1097,Maulik,me15b1145,22,Male,Mechanical,1,6.41,1,0,0
1098,Myra,it15b1306,21,Female,Information Technology,0,8.34,0,0,1
1099,Saiya,cv15b1134,22,Female,Civil,2,8.46,0,0,1
1100,Mahboob,el15b1197,21,Male,Electrical,0,7.44,0,0,0
1101,Shreyas,it15b1201,21,Male,Information Technology,2,6.05,0,0,1
1102,Amrutlal,cs15b1642,19,Male,Computer Science,1,6.31,0,0,0
1103,Manmohan,cv15b1021,22,Male,Civil,1,7.25,0,0,0
1104,Aaria,cs15b1575,20,Female,Computer Science,2,7.02,0,1,1
1105,Jalaj,cs15b1221,21,Male,Computer Science,1,8.15,0,0,1
1106,Surendra,cs15b1361,22,Male,Computer Science,1,6.25,1,0,0
1107,Keshav,cv15b1246,22,Male,Civil,0,7.4,0,0,0
1108,Viara,it15b1203,22,Female,Information Technology,0,8.02,0,0,1
1109,Prataprao,me15b1250,23,Male,Mechanical,1,5.19,1,0,0
1110,Sriram,me15b1288,22,Male,Mechanical,1,6.37,1,0,0
1111,Angad,el15b1282,20,Male,Electrical,2,7.08,0,0,1
1112,Tanvi,cv15b1242,20,Female,Civil,1,6.1,0,1,0
1113,Navya,el15b1131,22,Female,Electrical,2,8.18,0,0,1
1114,Kaustubh,me15b1192,22,Male,Mechanical,0,9.06,1,0,1
1115,Aarini,it15b1381,21,Female,Information Technology,0,8.41,0,0,1
1116,Anuj,cs15b1076,22,Male,Computer Science,0,8.34,0,0,1
1117,Saina,el15b1284,21,Female,Electrical,0,8.17,0,0,1
1118,Arya,cs15b1759,21,Female,Computer Science,1,8.36,1,0,1
1119,Yashvi,it15b1406,21,Female,Information Technology,1,6.32,1,0,0
1120,Harsh,cs15b1207,22,Male,Computer Science,1,8.48,0,0,1
1121,Aadhira,ec15b1135,21,Female,Electronics And Communication,1,6.36,1,1,0
1122,Hiten,me15b1325,21,Male,Mechanical,0,8.42,1,0,1
1123,Jalaj,ec15b1350,21,Male,Electronics And Communication,1,6.48,1,1,0
1124,Yashika,el15b1184,23,Female,Electrical,0,7.1,0,0,1
1125,Prataprao,cv15b1201,24,Male,Civil,0,6.43,1,0,1
1126,Diyara,ec15b1178,24,Female,Electronics And Communication,1,7.44,0,1,0
1127,Aniruddha,cs15b1749,22,Male,Computer Science,0,8.28,0,0,1
1128,Pratapsinh,it15b1050,22,Male,Information Technology,1,6.11,1,0,0
1129,Tarsem,it15b1141,21,Male,Information Technology,2,8.45,0,0,1
